region,phi_G,phi_T,phi_W,PV_total
HD_HB-BS,0.17917306180915887,-0.0018244349235705364,6.062526042685766e-05,0.26611387821902255
HZ_HB-BS,0.21699241101115155,-0.002051018292722888,0.0002859379457300585,0.322840995996238
NF_HB-BS,0.21394228219549719,-0.002782978043194238,0.00023020044374194205,0.3170842568940674
DB_HB-BS,0.13902246257752882,-0.0012801715197684699,0.00024170362670827044,0.20697599202670297
HB_HB-BS,0.0832839097969112,-0.0008542629600763743,0.0002389299195716624,0.12400286513460976
XB_HB-BS,0.035708730293424924,-0.00028784067940646043,0.0006855410342244654,0.05415964597236452
XZ_HB-BS,0.003018750706017122,-0.000269776687656902,-0.00033330995755858646,0.0036234960912026382
HD_CS-BS,0.23265318745897606,-0.002441773297887935,0.0001395283041978197,0.34552641369792914
HZ_CS-BS,0.2538992017426379,-0.0023814982669225263,0.00032540003461113546,0.3777646552654898
NF_CS-BS,0.26317931322862403,-0.0033254690154652807,0.0002734746747053211,0.39019097833179606
DB_CS-BS,0.16552115460888484,-0.0015840619083161219,0.00035930716727074034,0.24644459980175915
HB_CS-BS,0.09182774143743444,-0.0009676520527979777,0.00015299425459051736,0.1365196254588405
XB_CS-BS,0.04255574804012969,-0.000408041193375829,0.0006962944454699043,0.06426600193833559
XZ_CS-BS,0.010846971678885865,-0.0002108819637650083,-0.00032344702867326974,0.015468964029671387
HD_HR-BS,0.38386090386358696,-0.0042068810923316866,0.00041495225379143444,0.5701034625375702
HZ_HR-BS,0.41560431223775124,-0.004082161236836781,0.000595608559044877,0.6181766393399389
NF_HR-BS,0.4237180797288549,-0.005615693803382077,0.00022441678526488308,0.6274902040661067
DB_HR-BS,0.25711586746152165,-0.002548675026780392,0.00041267288845459434,0.3824697979847938
HB_HR-BS,0.1364520202537154,-0.0015945824678126764,8.697324824629374e-05,0.20241661655122378
XB_HR-BS,0.062105760816331936,-0.0006588302887847136,0.0006112462902772844,0.09308726522673678
XZ_HR-BS,0.01731155347371397,-0.00042507523061090165,-0.00028308573119350156,0.024905088767864375
